Question Text (English),Option A,Option B,Option C,Option D,,Explanation (English),DOPD Operation Weight (%),DOPD Discipline Weight (%),DOPD Professionalism Weight (%),Malay Question Text,Malay Option A,Malay Option B,Malay Option C,Malay Option D,Malay Explanation,Batch
A customer becomes verbally aggressive after being told the delivery cannot proceed as requested.,Respond firmly to assert your position,"Stay calm, acknowledge concerns, and explain the situation clearly",End the conversation and walk away,Repeat company policy without further engagement,B,Staying calm and acknowledging concerns helps prevent escalation and keeps the situation under control.,,,1,Seorang pelanggan bercakap secara agresif selepas dimaklumkan bahawa penghantaran tidak dapat diteruskan seperti diminta.,Jawab dengan tegas untuk pertahankan pendirian,"Kekal tenang, dengar perkara yang dibangkitkan dan terangkan keadaan dengan jelas",Tamatkan perbualan dan beredar,Ulang dasar syarikat tanpa perbincangan lanjut,Kekal tenang dan beri penjelasan yang jelas membantu elakkan keadaan menjadi lebih tegang dan kekalkan kawalan situasi.,5
"During unloading, a site worker suggests a small personal favour to speed up the process.",Decline politely and continue unloading as required,Agree briefly since it may help everyone finish faster,Avoid responding directly and keep working to reduce attention,Suggest handling the request later to keep things moving,A,Declining improper requests helps maintain integrity and fair working practices.,,0.25,0.75,"Semasa proses memunggah, seorang pekerja tapak mencadangkan bantuan peribadi kecil untuk mempercepatkan proses.",Tolak dengan sopan dan teruskan proses memunggah seperti dikehendaki,Setuju seketika kerana ia mungkin mempercepatkan kerja,Elakkan memberi respons secara langsung dan teruskan kerja,Cadangkan urus perkara itu kemudian supaya kerja berjalan,Menolak permintaan yang tidak sesuai membantu kekalkan integriti dan amalan kerja yang adil.,5
"During a delivery discussion, someone becomes upset after you refuse an improper request.",Restate your position calmly and keep the discussion respectful,Explain in detail why the request is wrong and unacceptable,End the discussion abruptly to avoid further disagreement,Respond firmly to make it clear the matter is closed,A,Holding your position calmly helps resolve issues without escalating conflict.,,0.25,0.75,"Semasa perbincangan penghantaran, seseorang menjadi tidak puas hati selepas anda menolak permintaan yang tidak sesuai.",Nyatakan semula pendirian anda dengan tenang dan kekalkan perbincangan secara hormat,Terangkan dengan terperinci mengapa permintaan itu salah dan tidak boleh diterima,Tamatkan perbincangan secara mendadak untuk elak pertelingkahan lanjut,Beri respons dengan tegas supaya jelas perkara itu telah selesai,Kekalkan pendirian dengan tenang untuk selesaikan isu tanpa meningkatkan ketegangan.,5
"A driver behind you flashes headlights repeatedly and gestures, appearing impatient with your speed.",Keep your speed steady and avoid responding to the behaviour,Speed up slightly so the situation does not turn into an argument,Change lanes when possible to prevent further confrontation,React briefly to signal you have noticed the other driver,A,Maintaining steady driving and not reacting helps prevent conflicts from escalating.,0.25,0.25,0.5,"Seorang pemandu di belakang anda berulang kali memberi lampu tinggi dan membuat isyarat, kelihatan tidak sabar dengan kelajuan anda.",Kekalkan kelajuan secara konsisten dan elakkan memberi respons,Tambah sedikit kelajuan supaya keadaan tidak menjadi tegang,Tukar lorong apabila selamat untuk mengelakkan konfrontasi,Beri respons ringkas untuk menunjukkan anda sedar akan kehadirannya,Pemanduan yang stabil dan tidak bertindak balas membantu mengelakkan situasi daripada menjadi tegang.,5
"You slow to turn near pedestrians, and nearby road users appear unsure of your intention.",Signal early and make the turn carefully,Slow further to see how others react,Turn once there is space without signalling,Edge forward slightly to show what you intend to do,A,Early signalling helps pedestrians and other road users understand your intention and stay safe.,0.25,,0.75,"Anda memperlahankan kenderaan untuk membelok berhampiran pejalan kaki, dan pengguna jalan lain kelihatan tidak pasti tentang niat anda.",Beri isyarat awal dan belok secara cermat,Perlahankan lagi untuk melihat reaksi orang lain,Belok apabila ada ruang tanpa memberi isyarat,Gerak sedikit ke hadapan untuk menunjukkan niat,Isyarat awal membantu pejalan kaki dan pengguna jalan lain memahami niat anda dan kekal selamat.,5
"A vehicle cuts in sharply, making you angry. You need to change lanes while drivers around you are unsure of your intention.",Regain composure and signal clearly before changing lanes,Change lanes quickly to get away from the situation,Sound the horn briefly to express frustration,Hold your lane without signalling until traffic settles,A,Clear signalling after regaining composure helps others understand your intentions and keeps traffic moving safely.,0.25,0.25,0.5,Sebuah kenderaan memotong masuk secara mengejut sehingga anda berasa marah. Anda perlu menukar lorong ketika pemandu lain di sekitar tidak pasti tentang niat anda.,Tenangkan diri dan beri isyarat dengan jelas sebelum menukar lorong,Tukar lorong dengan cepat untuk menjauhkan diri daripada situasi,Bunyi hon seketika untuk meluahkan rasa tidak puas hati,Kekalkan lorong tanpa memberi isyarat sehingga trafik kembali stabil,Isyarat yang jelas selepas menenangkan diri membantu pemandu lain memahami niat anda dan memastikan aliran trafik kekal selamat.,5
You have completed 8 hours of driving for the day and one nearby delivery remains.,Continue driving to complete the final delivery.,Stop driving and report reaching the daily limit.,Drive for another 30 minutes before stopping.,Reduce speed and complete the delivery carefully.,B,Follow driving hour limits to maintain safety and compliance.,0.5,0,0,Anda telah memandu selama 8 jam pada hari tersebut dan satu penghantaran berhampiran masih belum selesai.,Terus memandu untuk menyelesaikan penghantaran terakhir.,Hentikan pemanduan dan laporkan bahawa had harian telah dicapai.,Memandu lagi selama 30 minit sebelum berhenti.,Kurangkan kelajuan dan selesaikan penghantaran dengan berhati-hati.,Patuhi had waktu pemanduan untuk menjaga keselamatan dan pematuhan.,5
Your goods vehicle is experiencing failure at night and you need to step out.,Exit quickly to place warning devices.,Wear a safety vest before exiting.,Stand beside the vehicle and observe traffic.,Use your phone light while walking behind the vehicle.,B,Ensure personal visibility before exiting to reduce roadside risk.,0.5,0,0.5,Kenderaan barangan anda mengalami kerosakan pada waktu malam dan anda perlu keluar dari kenderaan.,Keluar dengan segera untuk meletakkan alat amaran.,Pakai jaket keselamatan sebelum keluar.,Berdiri di sebelah kenderaan dan perhatikan trafik.,Gunakan lampu telefon bimbit semasa berjalan di belakang kenderaan.,Pastikan anda mudah dilihat sebelum keluar bagi mengurangkan risiko di tepi jalan.,5
"During inspection, you notice the fire extinguisher has passed its expiry date.",Keep using it since it has not been discharged.,Replace it with a compliant 9kg extinguisher within validity.,Replace it with a compliant 6kg extinguisher within validity.,Replace it with a compliant 12kg extinguisher within validity.,B,Ensure the required fire extinguisher meets the approved specification and validity.,0,1,0,"Semasa pemeriksaan, anda mendapati alat pemadam api telah melepasi tarikh luput.",Terus gunakan kerana ia belum pernah digunakan.,Gantikan dengan alat pemadam api 9kg yang mematuhi spesifikasi dan masih dalam tempoh sah.,Gantikan dengan alat pemadam api 6kg yang mematuhi spesifikasi dan masih dalam tempoh sah.,Gantikan dengan alat pemadam api 12kg yang mematuhi spesifikasi dan masih dalam tempoh sah.,Pastikan alat pemadam api yang diperlukan mematuhi spesifikasi dan tempoh sah yang ditetapkan.,5
You are asked to modify the vehicle's GPS tracking or speedometer settings.,Make the adjustment if it improves convenience.,Refuse any modification that violates safety or company protocol.,Adjust the settings temporarily and restore them later.,Modify only if other drivers have done so.,B,Do not alter vehicle systems against safety rules or company protocol.,0.5,0,0.5,Anda diminta untuk mengubah suai tetapan sistem GPS atau meter kelajuan kenderaan.,Buat pelarasan jika ia memudahkan urusan.,Tolak sebarang pengubahsuaian yang melanggar peraturan keselamatan atau prosedur syarikat.,Ubah tetapan sementara dan pulihkan kemudian.,Buat pengubahsuaian hanya jika pemandu lain pernah melakukannya.,Jangan mengubah suai sistem kenderaan yang bertentangan dengan peraturan keselamatan atau prosedur syarikat.,5
You are selected for a random blood and urine test during duty.,Cooperate and undergo the test as required.,Request to postpone the test to another day.,Refuse the test because it is unlawful.,Agree only if other drivers are tested first.,A,Comply with random substance testing as required.,0.5,0,0.5,Anda dipilih untuk menjalani ujian darah dan air kencing secara rawak semasa bertugas.,Berikan kerjasama dan jalani ujian tersebut seperti yang dikehendaki.,Minta supaya ujian ditangguhkan ke hari lain.,Tolak ujian tersebut kerana ia tidak sah di sisi undang-undang.,Bersetuju hanya jika pemandu lain diuji terlebih dahulu.,Patuhi ujian saringan bahan terlarang secara rawak seperti yang ditetapkan.,5
You are starting your work shift for the day.,Record your attendance at the end of the shift.,Record your attendance at the beginning and end of the shift.,Inform your supervisor.,Record attendance only when requested.,B,Record attendance properly at the start and end of duty.,0.5,0,0.5,Anda memulakan syif kerja pada hari tersebut.,Rekodkan kehadiran pada akhir syif.,Rekodkan kehadiran pada awal dan akhir syif.,Maklumkan kepada penyelia.,Rekodkan kehadiran hanya apabila diminta.,Rekod kehadiran dengan betul pada awal dan akhir tugas.,5
"Before departing with a container, you notice visible damage on its exterior.",Proceed since the container is already sealed.,Record the damage in the required document.,Inform the customer verbally and continue.,Proceed if the cargo inside appears intact.,B,Record any container damage before proceeding.,0.5,0,0.5,Anda akan bertolak dengan sebuah kontena namun mendapati terdapat kerosakan yang jelas pada bahagian luarnya.,Teruskan perjalanan kerana kontena telah dimeterai.,Rekodkan kerosakan dalam dokumen yang diperlukan.,Maklumkan pelanggan secara lisan dan teruskan perjalanan.,Teruskan jika muatan di dalam kelihatan baik.,Rekodkan sebarang kerosakan kontena sebelum meneruskan perjalanan.,5
"While inspecting a reefer import container, you notice the power cable appears damaged.",Record the issue in the gate pass before exiting.,Continue if temperature display is normal.,Inform operations after delivery.,Secure it temporarily and proceed.,A,Record any reefer equipment damage in the gate pass before departure.,0.5,0,0.5,"Semasa memeriksa kontena import berpendingin, anda mendapati kabel kuasa kelihatan rosak.",Catat isu tersebut pada gate pass sebelum keluar.,Teruskan perjalanan jika paparan suhu normal.,Maklumkan kepada bahagian operasi selepas penghantaran.,Ikat sementara dan teruskan perjalanan.,Catat sebarang kerosakan peralatan kontena import berpendingin pada gate pass sebelum berlepas.,5
"Before departure, you notice there is no seal on the container.",Install any available seal and continue.,Report to operations and wait for instruction.,Proceed if the cargo appears secured.,Inform the customer after delivery.,B,Report missing seals before moving the container.,0.5,0,0.5,"Sebelum bertolak, anda mendapati tiada seal pada kontena.",Pasang mana-mana seal yang ada dan teruskan perjalanan.,Laporkan kepada bahagian operasi dan tunggu arahan lanjut.,Teruskan perjalanan jika muatan kelihatan selamat.,Maklumkan kepada pelanggan selepas penghantaran.,Laporkan seal yang tiada sebelum menggerakkan kontena.,5
You are hauling a loaded export container to the designated port.,Drive directly to the port without unnecessary stops.,Stop briefly for personal errands.,Park overnight and continue the next day.,Divert to another site before heading to port.,A,Haul export containers directly to the designated port unless emergency arises.,0.5,0,0.5,Anda sedang membawa kontena eksport yang telah dimuatkan ke pelabuhan yang ditetapkan.,Pandu terus ke pelabuhan tanpa membuat hentian yang tidak perlu.,Berhenti seketika untuk urusan peribadi.,Parkir semalaman dan sambung perjalanan pada hari berikutnya.,Singgah ke tapak lain sebelum ke pelabuhan.,Bawa kontena eksport terus ke pelabuhan yang ditetapkan kecuali berlaku kecemasan.,5
"After ensuring safety at the accident scene, what should you do next?",Report immediately to office.,Complete delivery first and report later.,Wait until returning to depot.,Inform only if damage is serious.,A,Report the incident immediately and await instruction.,0.5,0,0.5,"Selepas memastikan keselamatan di lokasi kemalangan, apakah tindakan seterusnya?",Laporkan segera kepada pejabat.,Selesaikan penghantaran dahulu dan laporkan kemudian.,Tunggu sehingga kembali ke depot.,Maklumkan hanya jika kerosakan adalah serius.,Laporkan kejadian segera dan tunggu arahan lanjut.,5
"After a collision, operations asks for your location.",Provide the exact location using junctions or landmarks.,"Say you are ""near the highway"".",Share the location after police arrival.,Wait for GPS tracking to update automatically.,A,Provide precise accident location details.,0.5,0,0.5,"Selepas pelanggaran, bahagian operasi meminta lokasi anda.",Berikan lokasi tepat dengan menyatakan simpang atau mercu tanda.,Berikan anggaran lokasi berdasarkan kawasan sekitar.,Kongsi lokasi selepas polis tiba.,Tunggu sistem GPS dikemas kini secara automatik.,Berikan butiran lokasi kemalangan dengan tepat dan jelas.,5
You drive in steady multi-lane traffic. Motorcycles filter between lanes and traffic slows near an exit.,Maintain lane position and prepare for sudden movement,Change lanes early to avoid slowing traffic,Hold lane but move closer to the lane marking,Continue normally and react only if traffic slows,A,Maintain stable lane position and anticipate sudden movement.,1,,,Anda memandu dalam trafik berbilang lorong yang lancar. Motosikal bergerak di antara lorong dan trafik perlahan berhampiran susur keluar.,Kekalkan kedudukan lorong dan bersedia untuk pergerakan mengejut,Tukar lorong lebih awal untuk mengelakkan trafik perlahan,Kekalkan lorong tetapi bergerak lebih dekat ke garisan lorong,Teruskan seperti biasa dan bertindak hanya jika trafik perlahan,Kekalkan kedudukan lorong yang stabil dan jangka pergerakan mengejut.,6
You follow a slow vehicle on a busy road. Traffic flows on the adjacent lane.,Wait for a clear safe gap before overtaking,Overtake quickly to avoid staying behind,Move closer to signal your intent,Begin overtaking and adjust as traffic responds,A,Manage frustration and wait for a clear safe gap before overtaking.,0.75,0.25,,Anda mengekori kenderaan perlahan di jalan sibuk. Trafik bergerak di lorong sebelah.,Tunggu ruang yang benar-benar selamat sebelum memotong,Memotong dengan cepat supaya tidak terus terperangkap,Bergerak lebih dekat untuk memberi isyarat niat,Mulakan memotong dan sesuaikan kedudukan mengikut trafik,Kawal rasa marah dan tunggu ruang yang benar-benar selamat sebelum memotong.,6
You are inside a terminal yard. A marshal signals you to hold while equipment moves in your path.,Remain stationary until the marshal signals to proceed,Ease forward slightly to improve visibility,"Hold briefly, then advance once equipment clears",Follow the vehicle ahead if it begins moving,A,Follow marshal instructions and keep distance from operating equipment.,0.75,0.25,,Anda berada di dalam kawasan terminal. Seorang marshal memberi isyarat supaya berhenti sementara jentera bergerak di laluan anda.,Kekal berhenti sehingga marshal memberi isyarat untuk bergerak,Bergerak sedikit ke hadapan untuk meningkatkan jarak penglihatan,Berhenti seketika kemudian bergerak apabila jentera beredar,Ikut kenderaan di hadapan jika ia mula bergerak,Patuhi arahan marshal dan kekalkan jarak daripada jentera yang sedang beroperasi.,6
You approach a junction inside an industrial site. Internal lanes intersect and site rules require vehicles to yield.,Slow down and follow the site junction rule,Roll forward and proceed when the path looks clear,Edge into the junction to signal intention,Enter if nearby vehicles move through safely,A,Apply site junction rules to prevent conflicts at internal intersections.,0.5,0.5,,Anda menghampiri persimpangan di dalam kawasan industri. Laluan dalaman bersilang dan peraturan tapak memerlukan kenderaan memberi laluan.,Perlahankan kenderaan dan ikut peraturan persimpangan tapak,Bergerak perlahan dan masuk apabila laluan kelihatan jelas,Masuk sedikit ke persimpangan untuk memberi isyarat niat,Masuk jika kenderaan berhampiran kelihatan melalui dengan selamat,Patuhi peraturan persimpangan tapak untuk mengelakkan konflik di persimpangan dalaman.,6
You drive inside a container terminal. RTGs and reach stackers operate nearby and containers restrict visibility.,Reduce speed early and proceed cautiously,Maintain normal speed and rely on operators to yield,Accelerate briefly to clear the area,Match the speed of nearby terminal vehicles,A,Reduce speed near operating terminal equipment.,,0.5,0.5,Anda memandu di dalam terminal kontena. RTG dan reach stacker beroperasi berhampiran dan kontena menghadkan pandangan.,Kurangkan kelajuan lebih awal dan teruskan dengan berhati-hati,Kekalkan kelajuan biasa dan bergantung pada pengendali untuk memberi laluan,Tambah kelajuan seketika untuk melepasi kawasan itu,Ikut kelajuan kenderaan terminal berhampiran,Kurangkan kelajuan berhampiran jentera terminal yang beroperasi.,6
"During a roadside inspection, an officer approaches and you realise you are not wearing a safety vest.",Put on the safety vest and cooperate with the inspection,Continue the inspection and wear it if instructed,Answer the officer's questions and address it later,Remain where you are until the inspection ends,A,Wear required safety equipment during inspections.,,0.75,0.25,"Semasa pemeriksaan di tepi jalan, seorang pegawai menghampiri dan anda sedar anda tidak memakai vest keselamatan.",Pakai vest keselamatan dan beri kerjasama semasa pemeriksaan,Teruskan pemeriksaan dan pakai jika diarahkan,Jawab soalan pegawai dan uruskan kemudian,Kekal di tempat anda sehingga pemeriksaan selesai,Pakai peralatan keselamatan yang diperlukan semasa pemeriksaan.,6
"While driving inside a site, you encounter uneven surfaces and hazards along the route. You are within the speed limit.",Reduce speed to suit the hazards,Maintain speed since it is within the limit,Adjust speed only near visible obstacles,Continue at normal speed and rely on steering,A,Adjust speed to suit conditions even within the limit.,0.75,0.25,,"Semasa memandu di dalam tapak, anda menghadapi permukaan tidak rata dan bahaya di laluan. Anda masih dalam had laju dibenarkan.",Kurangkan kelajuan mengikut keadaan,Kekalkan kelajuan kerana masih dalam had laju,Sesuaikan kelajuan hanya berhampiran halangan yang jelas,Teruskan pada kelajuan biasa dan bergantung pada kawalan stereng,Sesuaikan kelajuan mengikut keadaan walaupun masih dalam had laju.,6
"After a pre-trip inspection, the vehicle behaves differently once you begin moving.",Continue driving to see if it settles,Stop safely and reassess the vehicle,Adjust driving style to compensate,Complete the trip and report later,B,Vehicle behaviour should match inspection results.,,1,,"Selepas pemeriksaan sebelum perjalanan, kenderaan menunjukkan keadaan tidak biasa apabila anda mula bergerak.",Terus memandu untuk melihat sama ada keadaan kembali normal,Berhenti dengan selamat dan periksa semula kenderaan,Laraskan cara pemanduan untuk menyesuaikan keadaan,Selesaikan perjalanan dan laporkan kemudian,"Jika kenderaan menunjukkan keadaan tidak biasa, berhenti dan periksa semula sebelum meneruskan perjalanan.",6
"While preparing for delivery, you notice the cargo is not fully secured and the customer is waiting.",Pause and secure the cargo before proceeding,Continue carefully and address it afterward,Proceed to avoid delay and handle carefully,Proceed while explaining the situation to the customer,A,Secure cargo before delivery despite time pressure.,0.5,0.5,,"Semasa bersedia untuk penghantaran, anda mendapati muatan tidak dikunci dengan sempurna dan pelanggan sedang menunggu.",Berhenti seketika dan pastikan muatan dikunci dengan betul sebelum meneruskan,Teruskan dengan berhati-hati dan selesaikan isu kemudian,Teruskan untuk mengelakkan kelewatan dan kendalikan dengan berhati-hati,Teruskan sambil menerangkan keadaan kepada pelanggan,Pastikan muatan selamat sebelum meneruskan penghantaran walaupun terdapat tekanan masa.,6
"Before entering an industrial site, you have not completed the required pre-trip inspection.",Enter the site carefully and complete checks later,Complete the inspection and follow site entry rules,Rely on previous checks and proceed as directed,Ask site staff to guide you inside immediately,B,Complete inspections before site entry to ensure readiness and compliance.,0.5,0.5,,"Sebelum memasuki tapak industri, anda belum melengkapkan pemeriksaan pra-perjalanan kenderaan.",Masuk ke tapak dengan berhati-hati dan lakukan pemeriksaan kemudian,Lengkapkan pemeriksaan dan patuhi peraturan kemasukan tapak,Bergantung pada pemeriksaan sebelumnya dan teruskan seperti diarahkan,Minta kakitangan tapak membimbing anda masuk segera,Lengkapkan pemeriksaan sebelum memasuki tapak untuk memastikan kesiapsiagaan dan pematuhan.,6
"While waiting inside a confined site area, the vehicle is idling near structures and pedestrians.",Keep the engine idling so you can move off quickly,Switch off the engine while waiting,Keep idling until instructed to move,Remain stationary with the engine running,B,Switching off the engine when stationary reduces risk and unnecessary exposure in confined areas.,0.75,0.25,,"Semasa menunggu di kawasan tapak yang sempit, enjin masih hidup berhampiran struktur dan pejalan kaki.",Biarkan enjin hidup supaya boleh bergerak segera,Matikan enjin semasa menunggu,Terus biarkan enjin hidup sehingga diarahkan bergerak,Kekal berhenti dengan enjin masih hidup,Matikan enjin semasa berhenti untuk kurangkan risiko dan pendedahan.,6
"During a delivery, a customer begins recording your interaction on a mobile phone.",Continue the discussion calm and professional,Ask the customer to stop recording before continuing,Keep responses brief and focus on completing the task,Proceed with the delivery without acknowledging the recording,A,Maintaining professional behaviour protects your image when interactions are visible or recorded.,,0.25,0.75,"Semasa penghantaran, seorang pelanggan mula merakam interaksi anda menggunakan telefon bimbit.",Teruskan perbincangan dengan tenang dan profesional,Minta pelanggan berhenti merakam sebelum meneruskan,Jawab secara ringkas dan fokus untuk selesaikan tugas,Teruskan penghantaran tanpa mengendahkan rakaman,Kekalkan tingkah laku profesional apabila interaksi dirakam atau dilihat orang lain.,6
"During unloading, a disagreement with site staff begins to escalate over the unloading sequence.","Pause briefly, acknowledge the concern, and suggest resolving it calmly",Explain in detail why your unloading sequence is correct and safer,Continue unloading quietly to avoid making the situation worse,Justify your approach so everyone understands your reasoning,A,Pausing and responding calmly helps defuse tension.,,,1,"Semasa proses memunggah, berlaku perbezaan pendapat dengan kakitangan tapak mengenai turutan memunggah muatan dan keadaan mula menjadi tegang.",Berhenti seketika dan bincang dengan tenang,Terangkan dengan panjang lebar mengapa turutan anda lebih betul dan selamat,Teruskan proses memunggah secara senyap untuk elak keadaan menjadi lebih tegang,Pertahankan cara anda supaya semua faham sebabnya,Berhenti seketika dan beri respons dengan tenang membantu redakan ketegangan.,6
"After unloading, someone pressures you to change delivery records so the issue does not escalate.",Say the records must stay as they are and continue calmly,Change the records slightly so the discussion can end,Leave the records for now to avoid further disagreement,Explain repeatedly why the records cannot be changed,A,Keeping records accurate while staying calm helps prevent conflict from escalating.,,0.25,0.75,"Selepas proses memunggah, seseorang menekan anda supaya mengubah rekod penghantaran agar isu tersebut tidak menjadi lebih besar.",Nyatakan rekod mesti kekal seperti sedia ada dan teruskan dengan tenang,Ubah sedikit rekod supaya perbincangan boleh dihentikan,Biarkan rekod dahulu untuk elak pertelingkahan lanjut,Terangkan berulang kali mengapa rekod tidak boleh diubah,Kekalkan rekod yang tepat sambil bersikap tenang untuk elakkan keadaan menjadi lebih tegang.,6
"While driving through a community area, people nearby gesture for you to slow down as you pass.",Reduce speed and continue driving considerately,Maintain your speed since you are within the limit,"Slow briefly, then resume your previous speed",Focus ahead and avoid reacting to the gestures,A,Adjusting speed in response to community signals shows courtesy and respect for local conditions.,0.25,0.25,0.5,"Semasa melalui kawasan komuniti, orang di sekitar memberi isyarat supaya anda memperlahankan kenderaan.",Kurangkan kelajuan dan teruskan pemanduan dengan penuh pertimbangan,Kekalkan kelajuan kerana masih dalam had yang dibenarkan,"Perlahankan seketika, kemudian sambung semula kelajuan asal",Fokus ke hadapan dan abaikan isyarat tersebut,Melaras kelajuan mengikut keadaan setempat menunjukkan sikap hormat dan prihatin terhadap komuniti.,6
"In a local area, another driver gestures courteously for you to merge while traffic slows.",Signal clearly and merge when safe,Merge promptly to return the courtesy,Hesitate briefly to avoid appearing disrespectful,Acknowledge the gesture and continue moving,A,"Clear signalling should guide merging decisions, even when courtesy is shown by others.",0.25,,0.75,"Di kawasan tempatan, seorang pemandu memberi isyarat sopan untuk membenarkan anda masuk ketika trafik semakin perlahan.",Beri isyarat dengan jelas dan masuk apabila selamat,Masuk segera untuk membalas kesopanan tersebut,Tangguh seketika supaya tidak kelihatan tidak menghormati,Balas isyarat tersebut dan teruskan bergerak,Isyarat yang jelas dan pertimbangan keselamatan perlu menjadi panduan walaupun diberi laluan oleh pemandu lain.,6
"You plan to install a sun shade, dark tint film, or stickers on the company truck windscreen.",Install them if they do not block the main driving view.,Do not install them without company approval.,Use removable shades only during daytime driving.,Check whether other drivers have done similar modifications.,B,Avoid unauthorised vehicle modifications that may affect safety or compliance.,,0.5,0.5,"Anda bercadang memasang pelindung matahari, filem gelap, atau pelekat pada cermin hadapan lori syarikat.",Pasang jika tidak menghalang pandangan utama ketika memandu.,Jangan pasang tanpa kelulusan syarikat.,Gunakan pelindung yang boleh ditanggalkan pada waktu siang sahaja.,Periksa sama ada pemandu lain pernah membuat perubahan yang sama.,Elakkan pengubahsuaian kenderaan tanpa kelulusan yang boleh menjejaskan keselamatan atau pematuhan.,6
You have been on duty for 10 hours and are asked to continue working.,Continue if the remaining task is short.,Stop working after reaching the 10-hour limit.,Work another hour and rest later.,Continue if traffic conditions are light.,B,Adhere to the maximum daily working hour limit.,0.5,0,0,Anda telah bertugas selama 10 jam dan diminta untuk terus bekerja.,Teruskan jika baki tugasan adalah singkat.,Hentikan bekerja selepas mencapai had 10 jam.,Bekerja satu jam lagi dan berehat kemudian.,Teruskan jika keadaan trafik tidak sibuk.,Patuhi had maksimum waktu kerja harian.,6
Your goods vehicle is experiencing failure on a highway and you are placing safety cones behind it.,Place cones a few metres behind the vehicle to alert nearby traffic.,"Position cones to the rear, spaced about 10 metres apart.",Place one cone directly behind the vehicle as a marker.,Set the cones beside the vehicle to save time.,B,Position warning devices correctly to provide clear rear hazard warning.,0.5,0,0.5,Kenderaan barangan anda mengalami kerosakan di lebuh raya dan anda sedang meletakkan kon keselamatan di belakangnya.,Letakkan kon beberapa meter di belakang kenderaan untuk memberi amaran kepada trafik berhampiran.,Letakkan kon di bahagian belakang dengan jarak kira-kira 10 meter antara satu sama lain.,Letakkan satu kon tepat di belakang kenderaan sebagai penanda.,Letakkan kon di sisi kenderaan untuk menjimatkan masa.,Letakkan alat amaran dengan jarak yang sesuai untuk memberi amaran yang jelas kepada trafik dari belakang.,6
"During inspection, you realise the vehicle has no working torchlight.",Proceed if driving is during daytime only.,Replace the torchlight before operating the vehicle.,Use your phone light if needed.,Continue since other safety items are present.,B,Ensure required safety equipment is present and functional.,0,1,0,"Semasa pemeriksaan, anda mendapati tiada lampu suluh yang berfungsi di dalam kenderaan.",Teruskan perjalanan jika pemanduan hanya pada waktu siang.,Gantikan lampu suluh tersebut sebelum mengendalikan kenderaan.,Gunakan lampu telefon bimbit jika perlu.,Teruskan kerana peralatan keselamatan lain masih ada.,Pastikan peralatan keselamatan yang diperlukan tersedia dan berfungsi dengan baik.,6
"Before starting your trip, you review the vehicle's licensing documents.",Proceed if the documents were checked last month.,Verify that all required vehicle licences are valid.,Continue driving and check only if stopped.,Rely on the office to monitor document validity.,B,Ensure vehicle licensing documents are valid before operating.,0.5,0,0.5,"Sebelum memulakan perjalanan, anda menyemak dokumen lesen kenderaan.",Teruskan perjalanan jika dokumen telah diperiksa bulan lepas.,Pastikan semua lesen kenderaan yang diperlukan masih sah.,Terus memandu dan semak hanya jika ditahan.,Bergantung kepada pejabat untuk memantau tempoh sah dokumen.,Pastikan semua dokumen lesen kenderaan masih sah sebelum mengendalikan kenderaan.,6
You are scheduled to begin duty at 5:00 AM.,Arrive early to prepare before starting duty.,Arrive exactly at 8:00 AM and prepare afterward.,Arrive a few minutes late if traffic is light.,Inform colleagues to cover while you arrive.,A,Arrive early to prepare and start duty on time.,0.5,0,0.5,Anda dijadualkan untuk memulakan tugas pada pukul 8:00 pagi.,Tiba lebih awal untuk membuat persediaan sebelum bertugas.,Tiba tepat pukul 8:00 pagi dan buat persediaan selepas itu.,Tiba lewat beberapa minit jika trafik lancar.,Maklumkan rakan sekerja untuk mengambil alih tugas sementara anda tiba.,Tiba lebih awal untuk membuat persediaan dan memulakan tugas tepat pada masanya.,6
"Before starting a trip, you check the prime mover and trailer documents.","Ensure the permit, road tax, and inspection certificate are valid.",Proceed if the road tax is still valid.,Check only the prime mover documents.,Verify documents only when stopped by enforcement.,A,Ensure all required vehicle documents are valid before operating.,0,1,0,"Sebelum memulakan perjalanan, anda menyemak dokumen kepala lori dan treler.","Pastikan permit, cukai jalan dan sijil pemeriksaan masih sah.",Teruskan perjalanan jika cukai jalan masih sah.,Periksa dokumen kepala lori sahaja.,Sahkan dokumen hanya apabila ditahan penguat kuasa.,Pastikan semua dokumen kenderaan yang diperlukan masih sah sebelum beroperasi.,6
"Before leaving the port, you check the container seal.",Proceed if the seal appears attached.,Ensure the seal is properly locked before departure.,Leave immediately if the container door is closed.,Rely on port staff to confirm the seal.,B,Ensure the container seal is securely locked before departure.,0.5,0,0.5,"Sebelum meninggalkan pelabuhan, anda memeriksa seal kontena.",Teruskan perjalanan jika seal kelihatan terpasang.,Pastikan seal dikunci dengan betul sebelum bertolak.,Bertolak segera jika pintu kontena telah ditutup.,Bergantung kepada kakitangan pelabuhan untuk mengesahkan seal.,Pastikan seal kontena dikunci dengan selamat sebelum bertolak.,6
